Strain,Accession ID,Collection date,lineage,scorpio_call,Location
hCoV-19/USA/AK-PHL17709/2022,EPI_ISL_10057399,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17718/2022,EPI_ISL_10057400,1/19/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17752/2022,EPI_ISL_10057401,2/1/2022,BA.1.15,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17692/2022,EPI_ISL_10057402,1/28/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17730/2022,EPI_ISL_10057403,1/20/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17725/2022,EPI_ISL_10057404,1/20/2022,BA.1.15,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17740/2022,EPI_ISL_10057405,1/31/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17701/2022,EPI_ISL_10057406,2/2/2022,BA.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17705/2022,EPI_ISL_10057407,1/25/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17751/2022,EPI_ISL_10057408,2/1/2022,BA.1.15,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17711/2022,EPI_ISL_10057409,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17668/2022,EPI_ISL_10057410,1/12/2022,BA.1.20,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17699/2022,EPI_ISL_10057411,2/3/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17748/2022,EPI_ISL_10057412,2/1/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17760/2022,EPI_ISL_10057413,1/31/2022,BA.1.1.18,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17743/2022,EPI_ISL_10057414,2/1/2022,BA.1.15,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17721/2022,EPI_ISL_10057415,1/25/2022,BA.1.15,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17680/2022,EPI_ISL_10057416,1/12/2022,BA.1.15,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17757/2022,EPI_ISL_10057417,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17681/2022,EPI_ISL_10057418,2/1/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17676/2022,EPI_ISL_10057419,1/12/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17750/2022,EPI_ISL_10057420,2/1/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17693/2022,EPI_ISL_10057421,1/29/2022,BA.1.1.2,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17738/2022,EPI_ISL_10057422,1/31/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17697/2022,EPI_ISL_10057423,1/20/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17726/2022,EPI_ISL_10057424,1/24/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17741/2022,EPI_ISL_10057425,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17736/2022,EPI_ISL_10057426,1/31/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17694/2022,EPI_ISL_10057427,1/29/2022,BA.1.1.14,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17678/2022,EPI_ISL_10057428,1/12/2022,BA.1.15,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-CDC-ASC210651580/2022,EPI_ISL_10076317,2/2/2022,BA.1.1.2,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210651579/2022,EPI_ISL_10076318,2/2/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210652434/2022,EPI_ISL_10077118,2/4/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210652435/2022,EPI_ISL_10077129,2/4/2022,BA.1.15,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-PROV-670/2020,EPI_ISL_1017066,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-623/2020,EPI_ISL_1017187,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-624/2020,EPI_ISL_1017188,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-626/2020,EPI_ISL_1017189,11/4/2020,B.1.335,,Unspecified
hCoV-19/USA/AK-PROV-627/2020,EPI_ISL_1017190,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-628/2020,EPI_ISL_1017191,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-629/2020,EPI_ISL_1017192,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-630/2020,EPI_ISL_1017193,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-632/2020,EPI_ISL_1017194,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-633/2020,EPI_ISL_1017195,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-634/2020,EPI_ISL_1017196,11/4/2020,B.1.335,,Unspecified
hCoV-19/USA/AK-PROV-635/2020,EPI_ISL_1017197,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-637/2020,EPI_ISL_1017198,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-638/2020,EPI_ISL_1017199,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-639/2020,EPI_ISL_1017200,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-641/2020,EPI_ISL_1017201,11/4/2020,B.1.595,,Unspecified
hCoV-19/USA/AK-PROV-643/2020,EPI_ISL_1017202,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-644/2020,EPI_ISL_1017203,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-647/2020,EPI_ISL_1017204,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-668/2020,EPI_ISL_1017205,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-672/2020,EPI_ISL_1017206,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-674/2020,EPI_ISL_1017207,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-677/2020,EPI_ISL_1017208,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-678/2020,EPI_ISL_1017209,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-682/2020,EPI_ISL_1017210,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-690/2020,EPI_ISL_1017211,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-696/2020,EPI_ISL_1017212,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-703/2020,EPI_ISL_1017213,11/4/2020,B.1.2,,Unspecified
hCoV-19/USA/AK-PROV-704/2020,EPI_ISL_1017214,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-PROV-706/2020,EPI_ISL_1017215,11/4/2020,B.1.336,,Unspecified
hCoV-19/USA/AK-CDC-2-5589019/2022,EPI_ISL_10226653,1/18/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589106/2022,EPI_ISL_10226656,1/19/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589127/2022,EPI_ISL_10226669,1/19/2022,BA.1.15,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589115/2022,EPI_ISL_10226676,1/21/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589017/2022,EPI_ISL_10226689,1/22/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589108/2022,EPI_ISL_10226690,1/22/2022,BA.1.1.18,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589011/2022,EPI_ISL_10226693,1/22/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589128/2022,EPI_ISL_10226695,1/22/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5588947/2022,EPI_ISL_10226701,1/23/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589030/2022,EPI_ISL_10226707,1/24/2022,BA.1.15,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-2-5589116/2022,EPI_ISL_10226713,1/24/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210549298/2022,EPI_ISL_10228083,2/5/2022,BA.1.20,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-PHL17241/2022,EPI_ISL_10229810,1/20/2022,BA.1.1,Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17252/2022,EPI_ISL_10229811,1/14/2022,BA.2.3,Omicron (Unassigned),Gulf Coast
hCoV-19/USA/AK-PHL17253/2022,EPI_ISL_10229812,1/13/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL17254/2022,EPI_ISL_10229813,1/13/2022,BA.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17264/2022,EPI_ISL_10229814,1/3/2022,BA.1.20,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17271/2022,EPI_ISL_10229815,1/13/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17273/2022,EPI_ISL_10229816,1/17/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17281/2022,EPI_ISL_10229817,1/14/2022,BA.1.1.18,Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL17285/2022,EPI_ISL_10229818,1/7/2022,BA.1.1,Probable Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL17314/2022,EPI_ISL_10229819,1/3/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17316/2022,EPI_ISL_10229820,1/3/2022,BA.1.20,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-CDC-MMB13965531/2022,EPI_ISL_10231133,1/27/2022,BA.1.20,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-QDX33592212/2022,EPI_ISL_10234038,2/2/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-QDX33592084/2022,EPI_ISL_10234485,1/28/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-PHL16095/2021,EPI_ISL_10239058,11/30/2021,AY.44,Delta (B.1.617.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17689/2022,EPI_ISL_10239069,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17698/2022,EPI_ISL_10239070,1/20/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17703/2022,EPI_ISL_10239071,1/26/2022,BA.1.15.2,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17717/2022,EPI_ISL_10239072,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17724/2022,EPI_ISL_10239073,1/19/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17734/2022,EPI_ISL_10239074,1/19/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17747/2022,EPI_ISL_10239075,2/1/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-CDC-LC0535982/2022,EPI_ISL_10268573,2/5/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536004/2022,EPI_ISL_10268574,2/5/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0535984/2022,EPI_ISL_10268575,2/5/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0534819/2022,EPI_ISL_10268961,2/5/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536022/2022,EPI_ISL_10269124,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536021/2022,EPI_ISL_10269143,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0535971/2022,EPI_ISL_10269144,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536023/2022,EPI_ISL_10269145,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536092/2022,EPI_ISL_10269346,2/6/2022,BA.1.1.18,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0531216/2022,EPI_ISL_10269545,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538303/2022,EPI_ISL_10269551,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538297/2022,EPI_ISL_10269646,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538304/2022,EPI_ISL_10269655,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538296/2022,EPI_ISL_10269656,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538289/2022,EPI_ISL_10270106,2/7/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0536028/2022,EPI_ISL_10270135,2/7/2022,BA.1.20,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538653/2022,EPI_ISL_10271666,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538688/2022,EPI_ISL_10271667,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538254/2022,EPI_ISL_10271697,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538673/2022,EPI_ISL_10271698,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538672/2022,EPI_ISL_10271699,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538710/2022,EPI_ISL_10271700,2/8/2022,BA.1.17,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538259/2022,EPI_ISL_10271887,2/8/2022,BA.1.1.18,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538262/2022,EPI_ISL_10271888,2/8/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538286/2022,EPI_ISL_10271889,2/8/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538658/2022,EPI_ISL_10272543,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538674/2022,EPI_ISL_10272575,2/9/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538686/2022,EPI_ISL_10272576,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538654/2022,EPI_ISL_10272577,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538678/2022,EPI_ISL_10272880,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538665/2022,EPI_ISL_10272881,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538667/2022,EPI_ISL_10272928,2/9/2022,BA.1.1,Omicron (Unassigned),Unspecified
hCoV-19/USA/AK-CDC-LC0538695/2022,EPI_ISL_10273056,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538649/2022,EPI_ISL_10273066,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538728/2022,EPI_ISL_10273067,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538643/2022,EPI_ISL_10273068,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538641/2022,EPI_ISL_10273089,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0537589/2022,EPI_ISL_10273154,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0537588/2022,EPI_ISL_10273155,2/10/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538135/2022,EPI_ISL_10273420,2/11/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538141/2022,EPI_ISL_10273422,2/11/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538098/2022,EPI_ISL_10273423,2/11/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538706/2022,EPI_ISL_10273445,2/11/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538103/2022,EPI_ISL_10273491,2/12/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0538089/2022,EPI_ISL_10273493,2/12/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210550523/2022,EPI_ISL_10273899,2/8/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210550597/2022,EPI_ISL_10275016,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210550596/2022,EPI_ISL_10275033,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210551563/2022,EPI_ISL_10275358,2/9/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-ASC210551561/2022,EPI_ISL_10275361,2/9/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0000711/2020,EPI_ISL_1028447,12/21/2020,Unassigned,,Unspecified
hCoV-19/USA/AK-PHL17763/2022,EPI_ISL_10304195,2/2/2022,BA.1.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17766/2022,EPI_ISL_10304196,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17767/2022,EPI_ISL_10304197,2/2/2022,BA.1.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17768/2022,EPI_ISL_10304198,2/2/2022,BA.1.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17769/2022,EPI_ISL_10304199,2/2/2022,BA.1.15,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17770/2022,EPI_ISL_10304200,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17771/2022,EPI_ISL_10304201,2/2/2022,BA.1.15,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17772/2022,EPI_ISL_10304202,2/2/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
